code_iris,Animation,Commerces et services de proximité,Culture et loisirs,Enseignement,Espaces verts,Santé,Services,Sport,Sécurité,Tourisme,Transports,prix_m2_median,arrondissement
751114312.0,0.32460732984293195,0.03056768558951965,0.2857142857142857,0.037037037037037035,0.07142857142857142,0.0966183574879227,0.02903225806451613,0.025,0.0,0.036036036036036036,0.01666666666666667,10227.083333333334,11
751114313.0,0.14659685863874347,0.021210230817217717,0.0,0.14814814814814814,0.0,0.3140096618357488,0.0064516129032258064,0.025,0.0,0.04504504504504504,0.002380952380952381,10227.083333333334,11
751114314.0,0.15183246073298431,0.021834061135371178,0.0,0.07407407407407407,0.0,0.178743961352657,0.02903225806451613,0.025,0.0,0.0,0.009523809523809525,10227.083333333334,11
751114315.0,0.08900523560209425,0.024329382407985028,0.0,0.14814814814814814,0.07142857142857142,0.12077294685990338,0.012903225806451613,0.05,0.0,0.009009009009009009,0.009523809523809525,10227.083333333334,11
751114316.0,0.14659685863874347,0.038053649407361195,0.0,0.037037037037037035,0.0,0.08212560386473429,0.01935483870967742,0.0,0.0,0.04504504504504504,0.009523809523809525,10227.083333333334,11
751114317.0,0.09947643979057592,0.031191515907673113,0.0,0.14814814814814814,0.07142857142857142,0.10628019323671498,0.06451612903225806,0.025,0.25,0.009009009009009009,0.01666666666666667,10227.083333333334,11
751114318.0,0.09947643979057592,0.036805988771054274,0.0,0.0,0.0,0.11594202898550723,0.012903225806451613,0.0,0.0,0.036036036036036036,0.026190476190476195,10227.083333333334,11
751114319.0,0.03664921465968587,0.0056144728633811605,0.0,0.1111111111111111,0.2857142857142857,0.06280193236714976,0.0032258064516129032,0.07500000000000001,0.0,0.009009009009009009,0.030952380952380953,10227.083333333334,11
751114320.0,0.09424083769633508,0.024329382407985028,0.0,0.18518518518518517,0.0,0.07246376811594203,0.016129032258064516,0.0,0.0,0.036036036036036036,0.030952380952380953,10227.083333333334,11
751114321.0,0.05235602094240838,0.01372426699937617,0.0,0.0,0.0,0.05314009661835749,0.012903225806451613,0.025,0.0,0.0,0.009523809523809525,10227.083333333334,11
751114401.0,0.09424083769633508,0.02994385527136619,0.0,0.07407407407407407,0.0,0.3188405797101449,0.04516129032258064,0.0,0.0,0.02702702702702703,0.014285714285714287,10227.083333333334,11
751114402.0,0.12565445026178013,0.029320024953212728,0.0,0.037037037037037035,0.0,0.18840579710144928,0.06129032258064516,0.0,0.0,0.0,0.0380952380952381,10227.083333333334,11
751114403.0,0.2041884816753927,0.053649407361197755,0.0,0.14814814814814814,0.0,0.1400966183574879,0.02903225806451613,0.0,0.0,0.02702702702702703,0.0071428571428571435,10227.083333333334,11
751114404.0,0.13089005235602094,0.06425452276980662,0.0,0.0,0.0,0.24637681159420288,0.041935483870967745,0.025,0.0,0.02702702702702703,0.03333333333333334,10227.083333333334,11
751114405.0,0.16753926701570682,0.019962570180910792,0.0,0.1111111111111111,0.07142857142857142,0.18357487922705312,0.00967741935483871,0.2,0.0,0.02702702702702703,0.014285714285714287,10227.083333333334,11
751114406.0,0.24607329842931938,0.05489706799750468,0.0,0.07407407407407407,0.14285714285714285,0.32367149758454106,0.03225806451612903,0.17500000000000002,0.0,0.036036036036036036,0.02380952380952381,10227.083333333334,11
751114407.0,0.09424083769633508,0.01933873986275733,0.14285714285714285,0.037037037037037035,0.14285714285714285,0.10144927536231883,0.016129032258064516,0.0,0.0,0.018018018018018018,0.0,10227.083333333334,11
